make,model,colour,capacity,network,grade,condition,count
Blackberry,"CURVE 8520 - QWERTY",Black,"Not Applicable",Vodafone,"Grade C - Acceptable Condition","Power On Tested-Good LCD",2
Blackberry,"CURVE 8520 - QWERTY",Black,"Not Applicable",Vodafone,"Grade C - Acceptable Condition","Non-working - Need Battery",2
Blackberry,"CURVE 8520 - QWERTY",Black,"Not Applicable",Unlocked,"Grade D",Non-working,2
Blackberry,"CURVE 8520 - QWERTY",Black,"Not Applicable",O2,"Insurance Grade","Brand New",2
Blackberry,"CURVE 8520 - QWERTY",Black,"Not Applicable",O2,"Brand New","Brand New",16
Blackberry,"CURVE 8520 - QWERTY",Black,"Not Applicable",O2,"Grade B - Good Condition","Power On Tested-Good LCD",2
Blackberry,"CURVE 8520 - QWERTY",Black,"Not Applicable",Damaged,"Grade C - Acceptable Condition","Power On Tested-Good LCD",4
Blackberry,"CURVE 8520 - QWERTY",Black,"Not Applicable",Unlocked,"Grade D","Working - Minor Issue",2
Blackberry,"CURVE 8520 - QWERTY",Black,"Not Applicable",Unlocked,"Grade D",Working,6
Blackberry,"CURVE 8520 - QWERTY",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Working - Minor Issue",2
Blackberry,"CURVE 8520 - QWERTY",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Working - Need Battery",2
Blackberry,"Curve 8900",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,6
Blackberry,"Curve 8900",Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Non-working,2
Blackberry,"Curve 8900",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",BER,2
Blackberry,"Curve 8900",Black,"Not Applicable",Unlocked,"Brand New","Brand New",28
Blackberry,"CURVE 8900 - AZERTY",Black,"Not Applicable",Unlocked,"Insurance Grade","Brand New",18
Blackberry,"CURVE 8900 - AZERTY",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Working - Minor Issue",18
Blackberry,"CURVE 8900 - AZERTY",Black,"Not Applicable",Unlocked,"Insurance Grade",Working,6
Blackberry,"CURVE 8900 - AZERTY",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,20
Blackberry,"CURVE 8900 - AZERTY",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Non-working - DeBrand",2
Blackberry,"CURVE 8900 - QWERTY",Black,"Not Applicable",Vodafone,"Grade B - Good Condition","Non-working - Need Repair - Software",2
Blackberry,"CURVE 8900 - QWERTY",Black,16GB,Unlocked,"Grade C - Acceptable Condition",Working,2
Blackberry,"CURVE 8900 - QWERTY",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,4
Blackberry,"CURVE 8900 - QWERTY",Black,"Not Applicable",Unlocked,"Insurance Grade","Brand New",28
Blackberry,"CURVE 8900 - QWERTY",Black,"Not Applicable",Vodafone,"Grade A - Very Good Condition",Working,2
Blackberry,"CURVE 8900 - QWERTY",Black,"Not Applicable",Vodafone,"Grade C - Acceptable Condition","Power On Tested-Good LCD",2
Blackberry,"CURVE 8900 - QWERTY",Black,"Not Applicable","EE Network","Grade D",Working,2
Blackberry,"CURVE 9220 - QWERTY",Black,512MB,Unlocked,Unknown,BER,2
Blackberry,"CURVE 9220 - QWERTY",Black,512MB,Unlocked,"Grade D","Power On Tested-Good LCD",2
Blackberry,"CURVE 9220 - QWERTY",Black,512MB,Unlocked,"Grade C - Acceptable Condition",Working,2
Blackberry,"CURVE 9220 - QWERTY",Black,512MB,Unlocked,"Grade C - Acceptable Condition","Power On Tested-Good LCD",2
Blackberry,"CURVE 9220 - QWERTY",Black,512MB,"UK Unlocked Only","Grade C - Acceptable Condition",Working,2
Blackberry,"CURVE 9220 - QWERTY",Black,512MB,Unlocked,"Grade D",Working,2
Blackberry,"CURVE 9220 - QWERTY",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Working - Minor Issue",2
Blackberry,"CURVE 9220 - QWERTY",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,2
Blackberry,"CURVE 9220 - QWERTY",Black,"Not Applicable",NOS-Portugal,Unknown,Non-working,2
Blackberry,"CURVE 9220 - QWERTY",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Non-working - DeBrand",2
Blackberry,"CURVE 9220 - QWERTY",Black,"Not Applicable",Unlocked,Unknown,"Non-working - DeBrand",2
Blackberry,"CURVE 9220 - QWERTY",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Working – Minor Screen Burn",2
Blackberry,"Curve 9300",Grey,"Not Applicable",Unlocked,"Brand New","Brand New",78
Blackberry,"Curve 9300",Black,"Not Applicable",Unlocked,"Brand New","Brand New",2
Blackberry,"Curve 9300",Black,"Not Applicable",Vodafone,"Grade C - Acceptable Condition",BER,2
Blackberry,"Curve 9300",Black,"Not Applicable",Vodafone,"Grade C - Acceptable Condition",Working,26
Blackberry,"Curve 9300",Black,"Not Applicable",Vodafone,"Grade C - Acceptable Condition","Power On Tested-Good LCD",2
Blackberry,"Curve 9300",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,2
Blackberry,"Curve 9300",Black,"Not Applicable",Unlocked,"Insurance Grade","Brand New",96
Blackberry,"Curve 9300",Aqua,"Not Applicable",Unlocked,"Insurance Grade","Brand New",2
Blackberry,"Curve 9300",Black,"Not Applicable","EE Network","Grade C - Acceptable Condition","Power On Tested-Good LCD",2
Blackberry,"Curve 9300",Black,"Not Applicable",Vodafone,"Not Graded",BER,2
Blackberry,"CURVE 9300 - AZERTY",Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,98
Blackberry,"CURVE 9300 - AZERTY",White,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,14
Blackberry,"CURVE 9300 - AZERTY",White,"Not Applicable",Unlocked,"Grade B - Good Condition","Working - Need Battery",8
Blackberry,"CURVE 9300 - AZERTY","shimmery WHITE","Not Applicable","UK Unlocked Only","Grade B - Good Condition","Working - Minor Issue",2
Blackberry,"CURVE 9300 - AZERTY",Black,"Not Applicable","UK Unlocked Only","Grade C - Acceptable Condition","Working - Minor Issue",2
Blackberry,"CURVE 9300 - AZERTY",Black,"Not Applicable","UK Unlocked Only","Grade B - Good Condition","Power On Tested-Good LCD",2
Blackberry,"CURVE 9300 - AZERTY",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Non-working - Need Repair - Software",2
Blackberry,"CURVE 9300 - AZERTY",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,4
Blackberry,"CURVE 9300 - AZERTY",Black,"Not Applicable",Unlocked,"Grade D",BER,2
Blackberry,"CURVE 9300 - AZERTY",White,"Not Applicable",Unlocked,"Insurance Grade",Working,2
Blackberry,"CURVE 9300 - AZERTY",Black,"Not Applicable","UK Unlocked Only","Grade A - Very Good Condition",Working,2
Blackberry,"CURVE 9300 - AZERTY",White,"Not Applicable",Unlocked,"Grade B - Good Condition","Power On Tested-Good LCD",2
Blackberry,"CURVE 9300 - AZERTY",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,74
Blackberry,"CURVE 9300 - AZERTY",Black,"Not Applicable",Unlocked,"Insurance Grade","Brand New",14
Blackberry,"CURVE 9300 - AZERTY",Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Working - Need Battery",18
Blackberry,"CURVE 9300 - AZERTY",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Working - Need Battery",22
Blackberry,"CURVE 9300 - AZERTY",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Power On Tested-Good LCD",2
Blackberry,"CURVE 9300 - AZERTY",Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Working - Minor Issue",6
Blackberry,"CURVE 9300 - AZERTY",Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Power On Tested-Good LCD",6
Blackberry,"CURVE 9300 - AZERTY",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Working - Minor Issue",2
Blackberry,"CURVE 9300 - AZERTY",Black,"Not Applicable","UK Unlocked Only","Grade B - Good Condition","Working - Minor Issue",2
Blackberry,"CURVE 9300 - AZERTY",Black,"Not Applicable",Unlocked,Unknown,"Power On Tested-Broken LCD",2
Blackberry,"CURVE 9300 - AZERTY",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Working - Minor Issue",2
Blackberry,"CURVE 9300 - AZERTY",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Working - Need Battery",2
Blackberry,"CURVE 9300 - AZERTY",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Power On Tested-Good LCD",4
Blackberry,"CURVE 9300 - AZERTY",White,"Not Applicable",Unlocked,"Insurance Grade","Brand New",4
Blackberry,"CURVE 9300 - AZERTY",Black,"Not Applicable",Unlocked,"Grade B B2B",Working,6
Blackberry,"CURVE 9300 - AZERTY",Black,"Not Applicable","UK Unlocked Only","Grade B - Good Condition",Working,14
Blackberry,"CURVE 9300 - AZERTY",Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Non-working - Need Battery",74
Blackberry,"CURVE 9300 - AZERTY",Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Working – Major Screen Burn",2
Blackberry,"CURVE 9300 - AZERTY",White,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Non-working - Need Battery",8
Blackberry,"CURVE 9300 - AZERTY",Black,"Not Applicable",Damaged,Unknown,"Power On Tested-Broken LCD",2
Blackberry,"CURVE 9300 - AZERTY",Black,"Not Applicable",Vodafone,"Grade B - Good Condition",Working,2
Blackberry,"CURVE 9300 - AZERTY",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Non-working - Need Battery",14
Blackberry,"CURVE 9300 - AZERTY",Black,"Not Applicable",Damaged,"Grade D",BER,2
Blackberry,"CURVE 9300 - AZERTY",White,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,6
Blackberry,"CURVE 9300 - AZERTY",Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Non-working,2
Blackberry,"CURVE 9300 - AZERTY",White,"Not Applicable",Unlocked,"Grade B - Good Condition","Non-working - Need Battery",34
Blackberry,"CURVE 9300 - QWERTY",Grey,"Not Applicable",Unlocked,"Brand New","Brand New",4
Blackberry,"CURVE 9300 - QWERTY",Black,"Not Applicable",Vodafone,"Grade D",Working,10
Blackberry,"CURVE 9300 - QWERTY",Black,"Not Applicable",Unlocked,"Insurance Grade","Brand New",24
Blackberry,"CURVE 9300 - QWERTY",Red,"Not Applicable",Vodafone,"Grade C - Acceptable Condition",Working,2
Blackberry,"CURVE 9300 - QWERTY",Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,22
Blackberry,"CURVE 9300 - QWERTY",Black,"Not Applicable",Vodafone,"Grade B B2B",Working,4
Blackberry,"CURVE 9300 - QWERTY",Black,"Not Applicable",Unlocked,"Grade B B2B",Working,4
Blackberry,"CURVE 9300 - QWERTY",White,"Not Applicable",Unlocked,"Brand New","Brand New",2
Blackberry,"CURVE 9300 - QWERTY",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,10
Blackberry,"CURVE 9300 - QWERTY",Black,"Not Applicable",Unlocked,"Grade B B2B","Power On Tested-Good LCD",2
Blackberry,"CURVE 9300 - QWERTY",Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Working - Minor Issue",4
Blackberry,"CURVE 9300 - QWERTY",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",BER,2
Blackberry,"CURVE 9300 - QWERTY",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Power On Tested-Good LCD",4
Blackberry,"CURVE 9300 - QWERTY",Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Non-working - Need Battery",4
Blackberry,"CURVE 9300 - QWERTY",Black,"Not Applicable",NOS-Portugal,"Grade D","Non-working - Need Battery",2
Blackberry,"CURVE 9300 - QWERTY",Black,"Not Applicable",Damaged,"Grade D","Power On Tested-Good LCD",2
Blackberry,"CURVE 9300 - QWERTY",Black,"Not Applicable",Damaged,"Grade B - Good Condition","Power On Tested-Good LCD",4
Blackberry,"CURVE 9300 - QWERTY",Black,"Not Applicable",Damaged,"Grade C - Acceptable Condition","Power On Tested-Good LCD",4
Blackberry,"CURVE 9300 - QWERTY",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Non-working - Need Battery",2
Blackberry,"CURVE 9300 - QWERTY",Black,"Not Applicable","T-Mobile Orange","Grade C - Acceptable Condition","Non-working - Need Battery",2
Blackberry,"CURVE 9300 - QWERTY",Black,"Not Applicable","EE Network","Grade C - Acceptable Condition","Non-working - Need Battery",4
Blackberry,"CURVE 9300 - QWERTY",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,8
Blackberry,"CURVE 9300 - QWERTY",Black,"Not Applicable","T-Mobile Orange","Grade B - Good Condition",Working,6
Blackberry,"CURVE 9300 - QWERTY",Black,"Not Applicable","T-Mobile Orange","Grade A - Very Good Condition",Working,2
Blackberry,"CURVE 9300 - QWERTY",Black,"Not Applicable","T-Mobile Orange","Grade C - Acceptable Condition",Working,48
Blackberry,"CURVE 9300 - QWERTY",Silver,"Not Applicable","T-Mobile Orange","Grade C - Acceptable Condition","Working - Need Battery",2
Blackberry,"CURVE 9300 - QWERTY",Black,"Not Applicable",Orange,"Grade C - Acceptable Condition",Working,2
Blackberry,"CURVE 9300 - QWERTY",Silver,"Not Applicable","T-Mobile Orange","Grade C - Acceptable Condition",Working,6
Blackberry,"CURVE 9300 - QWERTY",Black,"Not Applicable","EE Network","Grade C - Acceptable Condition",Working,6
Blackberry,"CURVE 9300 - QWERTY",Black,"Not Applicable",Orange,"Grade D",Working,2
Blackberry,"Curve 9320",Black,"Not Applicable",Unlocked,"Grade D",Working,16
Blackberry,"Curve 9320",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,2
Blackberry,"Curve 9320",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Power On Tested-Good LCD",2
Blackberry,"Curve 9320",Black,"Not Applicable","EE Network","Grade D","Power On Tested-Good LCD",4
Blackberry,"Curve 9320",Black,"Not Applicable","EE Network","Grade D",BER,2
Blackberry,"Curve 9320",Black,"Not Applicable","EE Network",Unknown,"Power On Tested-Broken LCD",2
Blackberry,"Curve 9320",Black,"Not Applicable","EE Network","Grade D",BER-Scrap,2
Blackberry,"Curve 9320",Black,"Not Applicable","EE Network","Grade C - Acceptable Condition",Working,6
Blackberry,"Curve 9320",Black,"Not Applicable",Unknown,Unknown,"Power On Tested-Broken LCD",2
Blackberry,"Curve 9320",Black,"Not Applicable","EE Network",Unknown,Non-working,2
Blackberry,"Curve 9320",Black,"Not Applicable","EE Network","Grade C - Acceptable Condition","Power On Tested-Good LCD",2
Blackberry,"Curve 9320",Black,"Not Applicable",Unknown,"Grade C - Acceptable Condition","Power On Tested-Good LCD",2
Blackberry,"Curve 9320",Violet,"Not Applicable",Vodafone,"Insurance Grade","Brand New",2
Blackberry,"Curve 9320",Black,"Not Applicable","EE Network","Grade D",Working,2
Blackberry,"Curve 9320",Black,"Not Applicable",Vodafone,"Grade C - Acceptable Condition",Working,4
Blackberry,"Curve 9320",Black,"Not Applicable",Vodafone,"Grade A - Very Good Condition",Working,2
Blackberry,"Curve 9320",Black,"Not Applicable",Vodafone-Ireland,"Grade B - Good Condition",Working,2
Blackberry,"Curve 9320",Black,"Not Applicable",Unknown,"Grade D",BER-Scrap,2
Blackberry,"Curve 9320",Black,"Not Applicable",Vodafone,"Grade C - Acceptable Condition","Working - Minor Issue",2
Blackberry,"Curve 9320",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Working - Need Battery Cover",2
Blackberry,"Curve 9360",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,2
Blackberry,"Curve 9360",Black,"Not Applicable",Vodafone,"Grade C - Acceptable Condition",Working,2
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable",Unlocked,"Insurance Grade","Brand New",34
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,38
Blackberry,"CURVE 9360 - AZERTY",Black,512MB,Unlocked,"Grade A - Very Good Condition",Working,4
Blackberry,"CURVE 9360 - AZERTY",Black,512MB,Unlocked,"Grade B - Good Condition",Working,8
Blackberry,"CURVE 9360 - AZERTY",Black,512MB,Unlocked,"Grade C - Acceptable Condition",Working,2
Blackberry,"CURVE 9360 - AZERTY",Black,512MB,Unlocked,"Grade B B2B",Working,2
Blackberry,"CURVE 9360 - AZERTY",Black,512MB,Unlocked,"Grade B - Good Condition","Non-working - DeBrand",2
Blackberry,"CURVE 9360 - AZERTY",Black,512MB,Unlocked,"Grade C - Acceptable Condition",BER,2
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,34
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable","UK Unlocked Only","Grade B - Good Condition","Non-working - DeBrand",2
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable",Unlocked,"Brand New","Brand New",20
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Non-working - Need Repair - HardWare",2
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable",Unlocked,"Grade B B2B",Working,16
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable",Unlocked,"Grade D","Power On Tested-Good LCD",2
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Working - Need Battery",2
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable",Unlocked,Unknown,"Power On Tested-Good LCD",2
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Power On Tested-Good LCD",2
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable","UK Unlocked Only","Grade A - Very Good Condition",Working,2
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Non-working - Need Battery",78
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable",Unlocked,"Insurance Grade",Working,2
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Non-working - Need Battery",2
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Power On Tested-Good LCD",4
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Power On Tested-Good LCD",2
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Non-working - Need Battery",2
Blackberry,"CURVE 9360 - QWERTY",Black,"Not Applicable",Damaged,"Grade D",BER,2
Blackberry,"CURVE 9360 - QWERTY",Black,"Not Applicable",Unlocked,"Insurance Grade","Brand New",8
Blackberry,"CURVE 9360 - QWERTY",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,6
Blackberry,"CURVE 9360 - QWERTY",Black,"Not Applicable",Unlocked,"Brand New","Brand New",420
Blackberry,"CURVE 9360 - QWERTY",Pink,"Not Applicable",Unlocked,"Brand New","Brand New",144
Blackberry,"CURVE 9360 - QWERTY",White,"Not Applicable",Unlocked,"Brand New","Brand New",218
Blackberry,"CURVE 9360 - QWERTY",Pink,"Not Applicable",Unlocked,"Insurance Grade",Non-working,2
Blackberry,"CURVE 9360 - QWERTY",Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,8
Blackberry,"CURVE 9360 - QWERTY",Red,"Not Applicable",Unlocked,"Brand New","Brand New",38
Blackberry,"CURVE 9360 - QWERTY",Purple,"Not Applicable",Unlocked,"Brand New","Brand New",222
Blackberry,"CURVE 9360 - QWERTY",White,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,2
Blackberry,"CURVE 9360 - QWERTY",White,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Power On Tested-Good LCD",2
Blackberry,"CURVE 9360 - QWERTY",Pink,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,2
Blackberry,"CURVE 9360 - QWERTY",Pink,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,4
Blackberry,"CURVE 9360 - QWERTY",Purple,"Not Applicable",Unlocked,"Grade B - Good Condition","Working - Minor Issue",2
Blackberry,"CURVE 9360 - QWERTY",Red,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Non-working,2
Blackberry,"CURVE 9360 - QWERTY",Red,"Not Applicable",Unlocked,"Insurance Grade",Non-working,2
Blackberry,"CURVE 9360 - QWERTY",Pink,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,2
Blackberry,"CURVE 9360 - QWERTY",Pink,"Not Applicable",Unlocked,"Insurance Grade",Working,2
Blackberry,"CURVE 9360 - QWERTY",Red,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,4
Blackberry,"CURVE 9360 - QWERTY",Black,"Not Applicable",Unlocked,"Grade B B2B",Working,2
Blackberry,"CURVE 9360 - QWERTY",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Non-working,2
Blackberry,"CURVE 9360 - QWERTY",Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Non-working - Need Battery",8
Blackberry,"CURVE 9360 - QWERTY",Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Non-working - Need Repair - HardWare",2
Blackberry,"CURVE 9360 - QWERTZ",Black,"Not Applicable",Unlocked,"Brand New","Brand New",28
Blackberry,"CURVE 9360 - QWERTZ",Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,6
Blackberry,"CURVE 9360 QWERTY",Black,"Not Applicable",Damaged,"Grade C - Acceptable Condition","Power On Tested-Good LCD",2
Blackberry,"CURVE 9360 QWERTY",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,2
Blackberry,"CURVE 9380 - AZERTY",Black,"Not Applicable",Unlocked,"Brand New","Brand New",10
Blackberry,"CURVE 9380 - QWERTY",Black,"Not Applicable",Unlocked,"Brand New","Brand New",294
Blackberry,"CURVE 9380 - QWERTY",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Non-working - Need Repair - HardWare",4
Blackberry,"CURVE 9380 - QWERTY",Black,"Not Applicable",Unlocked,"Insurance Grade",Working,4
Blackberry,"CURVE 9380 - QWERTY",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,4
Blackberry,"CURVE 9380 - QWERTY",Black,"Not Applicable",Unlocked,Unknown,"Non-working - Need Repair - Software",2
Blackberry,"Curve 9720",Black,"Not Applicable",Unknown,"Grade B - Good Condition",BER,2
Blackberry,"Curve 9720",Black,"Not Applicable",Unknown,"Grade D",BER,2
Blackberry,"CURVE 9720 - BACK COVER",Black,"Not Applicable","Not Applicable","Brand New","Brand New",10
Blackberry,DTEK50,Black,"Not Applicable",Unlocked,"Brand New","Brand New",2
Blackberry,DTEK60,Silver,32GB,Unlocked,"Brand New","Brand New",6
Blackberry,"F-S1 BATTERY",Black,"Not Applicable","Not Applicable","Brand New","Brand New",20
Blackberry,"HARD SHELL CASE FOR 9900 BOLD",Black,"Not Applicable","Not Applicable","Grade A - Very Good Condition",Working,4
Blackberry,"HARD TRANSFORM SHELL CASE Z10",Black,"Not Applicable","Not Applicable","Grade A - Very Good Condition",Working,2
Blackberry,"KEYONE DUAL LAYER SHELL",Black,"Not Applicable","Not Applicable","Brand New","Brand New",8
Blackberry,"KEYONE QWERTY ",Black,32GB,Unlocked,"Brand New","Brand New",4
Blackberry,"KEYONE QWERTY ",Black,64GB,Unlocked,Unknown,"Non-working - Need Repair - HardWare",2
Blackberry,"KEYONE QWERTY ",Black,32GB,Unlocked,Unknown,"Non-working - Need Repair - HardWare",2
Blackberry,"KEYONE QWERTY ",Black,32GB,Unlocked,"Grade B - Good Condition","Non-working - Need Repair - HardWare",2
Blackberry,"KEYONE SMART FLIP CASE",Black,"Not Applicable","Not Applicable","Brand New","Brand New",6
Blackberry,Leap,Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,2
Blackberry,Leap,Black,16GB,Unlocked,"Grade C - Acceptable Condition",Working,4
Blackberry,Leap,Grey,16GB,Unknown,"Not Graded","iOS 7 Locked",2
Blackberry,Leap,Black,"Not Applicable",Unlocked,"Brand New","Brand New",40
Blackberry,Leap,Grey,16GB,Unlocked,"Brand New","Brand New",6
Blackberry,Leap,Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Non-working,2
Blackberry,Leap,Black,"Not Applicable",Unlocked,"Insurance Grade","Brand New",6
Blackberry,Leap,Black,16GB,Unlocked,"Grade A - Very Good Condition",Working,2
Blackberry,"LEATHER POCKET CASE FOR Q10 ",Black,"Not Applicable","Not Applicable","Grade A - Very Good Condition",Working,4
Blackberry,"LEATHER POCKET FOR Z10",Black,"Not Applicable","Not Applicable","Grade A - Very Good Condition",Working,2
Blackberry,"LS1 BATTERY",Black,"Not Applicable","Not Applicable","Brand New","Brand New",10
Blackberry,MOTION,Black,"Not Applicable",Unlocked,"Brand New","Brand New",10
Blackberry,Passport,Black,"Not Applicable",Vodafone,"Insurance Grade","Brand New",2
Blackberry,Passport,Black,32GB,Unlocked,"Not Graded",Working,2
Blackberry,Passport,Black,32GB,Unlocked,Unknown,"Non-working - Need Repair - Software",2
Blackberry,"Pearl 9105",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,2
Blackberry,"Pearl 9105","White Pearl","Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,2
Blackberry,"Pearl 9105",Black,"Not Applicable",Damaged,"Grade D",BER,2
Blackberry,"Pearl 9105",White,"Not Applicable",Unlocked,"Brand New","Brand New",28
Blackberry,"Pearl 9105",White,"Not Applicable",Unlocked,"Insurance Grade","Brand New",2
Blackberry,"PORSCHE DESIGN P9981 - QWERTY",Black,"Not Applicable",Unlocked,"Brand New","Brand New",14
Blackberry,"PORSCHE DESIGN P9981 - QWERTY",Black,"Not Applicable",Unlocked,"Grade B B2B",Working,2
Blackberry,PRIV,Black,32GB,Vodafone,"Grade B - Good Condition",Working,2
Blackberry,PRIV,Black,32GB,Unlocked,"Grade B - Good Condition","Working – Minor Screen Burn",2
Blackberry,PRIV,Black,32GB,Unlocked,"Grade C - Acceptable Condition","Working - Minor Issue",2
Blackberry,Q10,Black,"Not Applicable",Unknown,"Grade A - Very Good Condition",BER,2
Blackberry,Q10,Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,4
Blackberry,Q10,Black,"Not Applicable",Unknown,"Grade D","Power On Tested-Good LCD",2
Blackberry,Q10,Black,"Not Applicable",Unknown,"Grade A - Very Good Condition","Power On Tested-Broken LCD",2
Blackberry,Q10,Black,16GB,"EE Network","Grade A - Very Good Condition",Non-working,2
Blackberry,Q10,Black,16GB,Unlocked,"Grade B - Good Condition",Working,6
Blackberry,Q10,Black,16GB,Unlocked,"Grade A - Very Good Condition",Working,2
Blackberry,Q10,Black,"Not Applicable",Unknown,Unknown,"Power On Tested-Good LCD",4
Blackberry,Q10,Black,16GB,Unknown,Unknown,"Power On Tested-Good LCD",2
Blackberry,Q10,Black,16GB,NOS-Portugal,"Grade C - Acceptable Condition","Power On Tested-Good LCD",2
Blackberry,Q10,Black,16GB,Unlocked,"Insurance Grade","Brand New",2
Blackberry,Q10,Black,"Not Applicable",Unlocked,"Grade D",Working,2
Blackberry,Q10,White,"Not Applicable",Unlocked,"Insurance Grade","Brand New",2
Blackberry,Q10,Black,16GB,O2,"Grade A - Very Good Condition","Non-working - Need Repair - HardWare",2
Blackberry,Q10,Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,2
